ST number,rollcall ,implementation begin part1,intro2,implementation begin part2,intro3,implementation begin part1,python basic concept,implementation  numpy  part4,implementation  pretest  part5,implementation  analysis  part6,implementation  visualization  part7,APCS implementation,discussion and interact,final test,score
10630041,100,100,50,100,90,100,100,100,0,100,90,100,93.5,100,93.5
10630154,100,100,100,100,90,90,80,100,0,100,100,100,93.1,100,93.1
10630236,100,100,100,100,95,100,100,100,100,100,90,80,96,80,96
10630257,0,100,50,100,80,100,100,100,100,100,90,0,80,0,80
10630293,100,80,50,100,85,100,80,0,0,0,100,100,75.8,100,75.8
10630378,100,100,100,100,100,80,100,100,100,100,100,90,75,75,90.5
10630519,100,80,100,100,90,100,80,100,0,100,90,25,77.3,25,77.3
10630566,0,100,100,100,85,100,100,100,100,100,90,100,96.5,100,96.5
10730004,100,100,100,100,95,100,80,100,100,100,90,75,89.9,75,89.9
10730007,0,100,50,100,70,100,100,100,100,100,90,60,85.5,60,85.5
10730010,0,0,50,100,45,0,0,0,100,0,90,0,38.5,0,38.5
10730011,100,100,100,100,65,90,80,100,100,0,100,100,79.1,100,79.1
10730018,100,100,50,100,80,100,80,100,100,100,90,85,91.9,85,91.9
10730022,0,100,100,100,85,100,100,100,100,100,90,75,90.9,75,90.9
10730023,100,100,0,0,70,0,0,0,0,0,90,0,34.5,0,34.5
10730046,100,100,50,100,70,100,100,100,0,0,90,0,60,0,60
10730074,100,100,100,100,85,100,100,0,0,100,90,40,77.5,40,77.5
10730107,100,100,50,100,70,90,100,100,100,100,90,60,85.2,60,85.2
10730151,0,100,50,100,85,90,0,0,0,0,90,0,60,0,60
10730280,0,0,0,0,85,0,0,0,0,0,90,80,60.5,80,60.5
10730596,0,100,100,100,75,100,100,100,100,100,90,100,93.9,100,93.9
10730633,100,100,0,100,80,90,80,0,0,0,90,60,69.6,60,69.6
10730752,100,100,100,100,90,90,100,100,100,100,90,100,97.2,100,97.2
10730782,100,80,100,100,80,100,100,100,100,100,90,100,94.3,100,94.3
10735112,100,100,100,100,70,100,100,100,100,100,90,60,84.9,60,84.9
619006,0,100,100,100,30,100,80,100,0,100,100,60,73.4,60,73.4
619022,100,100,100,100,60,100,100,100,0,0,100,60,70,60,70
619024,0,0,0,0,0,0,0,0,0,0,60,0,14,0,14
619037,100,100,100,100,0,0,0,0,0,0,60,0,20,0,20
619038,100,100,100,100,0,0,0,0,0,0,60,0,20,0,20
619041,100,100,50,100,65,100,100,100,100,100,100,85,90,85,90
619044,100,100,100,100,65,100,80,100,100,100,90,60,83.9,60,83.9
619051,100,100,50,100,95,90,80,100,100,100,90,60,89.6,60,89.6
619065,100,100,100,100,55,100,80,100,0,0,90,10,60,10,60
619069,100,100,100,100,100,60,100,80,100,0,0,90,60,60,68.9
619076,100,100,0,100,55,100,100,100,100,0,90,60,72.5,60,72.5
619077,100,100,100,100,65,100,100,0,0,0,90,60,67.5,60,67.5
